Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Carro_Carro_ID",0AF3B8B6-2796-98B9-4A0F-E1EF1A21F58E,79,,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Venda",,F,NUMBER,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Carro_Carro_ID",B6BA5B79-AB02-3FCB-1372-60C6077D5F35,80,,9705F61E-48B5-B47B-0583-976384226EB5,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Forncecimento",,F,NUMBER,5,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Carro_ID",CCBBFD58-B09F-9D27-018F-1839F91A02EC,81,,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Carro",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Cidade",29DA2F04-F24B-84D8-10A2-E617DD2BE145,82,,6231EC3C-5E26-40C2-DD23-067C2C4FEC58,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Localidade",,,VARCHAR2,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",30,,,
"Cliente_Cliente_ID",C3E07FDC-42B5-1E24-7DD3-EE9655661845,83,,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Venda",,F,NUMBER,6,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Cliente_ID",78C4082F-3AA3-A26D-A483-A8A37C5CCDD0,84,,4A969A4F-6BC3-2571-B343-080C7636608D,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Cliente",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"CNPJ_Fornecedor",5A85653B-3405-76C7-948C-ACC9307433A8,85,,FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Forncedor",,,NUMBER,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,20,,
"Cor_Carro",CDDA8180-F99B-A8CA-DA42-05E21A02A2A1,86,,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Carro",,,VARCHAR2,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",10,,,
"Data_Forncecimento",084AD986-0F0C-36EA-2823-DACF6DEE0DD8,87,,9705F61E-48B5-B47B-0583-976384226EB5,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Forncecimento",,,DATE,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,,,
"Data_Venda",88F792D4-CC1E-74E8-C475-91D69DC4306E,88,,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Venda",,,DATE,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,,,
"Descricao_Peca",A87DE436-BD39-D11B-AF29-26CA82DDCC28,89,,4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Peças",,,VARCHAR2,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",20,,,
"Estado",BB21B4FE-0A2A-F4D0-3343-29AC59902FBE,90,,6231EC3C-5E26-40C2-DD23-067C2C4FEC58,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Localidade",,,VARCHAR2,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",20,,,
"Fabricante_Carro",01843915-3A21-934C-F860-F70A61B4B064,91,,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Carro",,,VARCHAR2,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,,,
